branch_office,month_tz,day_tz,hour_tz,tiempodeses,prediccion
1,11,17,4,0,FALSE
3,11,3,22,477,TRUE
3,11,12,10,0,FALSE
3,11,27,21,0,FALSE
1,11,27,16,0,FALSE
1,10,29,14,284,TRUE
1,11,16,19,1857,TRUE
3,11,9,11,0,FALSE
3,11,15,7,0,FALSE
3,11,4,14,224,TRUE
3,11,6,9,0,FALSE
2,11,23,16,17230,TRUE
1,11,28,17,0,FALSE
1,11,16,8,12530,TRUE
1,11,14,11,0,FALSE
2,11,13,12,0,FALSE
3,11,10,8,0,FALSE
3,11,14,16,0,FALSE
1,11,8,22,116,TRUE
1,11,9,20,24,FALSE
1,11,16,21,466,TRUE
3,11,9,15,158,TRUE
1,10,29,7,0,FALSE
1,11,12,21,31,FALSE
3,11,14,19,0,FALSE
1,10,27,9,0,FALSE
1,11,13,12,121,TRUE
1,11,2,18,12,FALSE
1,11,10,11,25895,TRUE
1,10,31,9,18061,TRUE
1,11,16,17,0,FALSE
1,11,16,19,0,FALSE
3,11,15,15,1017,TRUE
1,10,25,22,2379,TRUE
1,10,30,7,0,FALSE
1,11,4,10,785,TRUE
3,11,13,2,5311,TRUE
1,11,2,22,47,FALSE
3,11,11,21,2568,TRUE
3,11,24,6,0,FALSE
3,11,8,18,690,TRUE
1,10,28,17,0,FALSE
3,11,23,16,0,FALSE
1,11,23,23,330,TRUE
1,11,28,8,0,FALSE
1,11,14,9,0,FALSE
3,11,30,14,0,FALSE
1,11,6,21,0,FALSE
1,11,5,13,0,FALSE
3,11,23,18,682,TRUE
1,11,2,10,0,FALSE
2,11,16,7,0,FALSE
3,11,5,22,0,FALSE
3,11,14,8,163,TRUE
1,11,2,17,0,FALSE
3,11,10,10,0,FALSE
1,11,27,16,0,FALSE
3,11,24,15,8120,TRUE
3,11,15,14,2203,TRUE
1,10,31,18,0,FALSE
3,11,3,16,0,FALSE
1,11,7,17,0,FALSE
2,11,9,12,736,TRUE
2,11,8,14,10783,TRUE
1,11,4,20,9,FALSE
3,11,4,19,32,FALSE
1,11,7,18,60,FALSE
1,10,31,11,0,FALSE
3,11,7,16,0,FALSE
3,11,6,6,104,TRUE
3,11,8,8,0,FALSE
1,10,31,21,0,FALSE
3,11,27,18,0,FALSE
1,10,28,17,60,FALSE
2,11,24,12,42,FALSE
1,10,28,15,0,FALSE
1,11,13,16,0,FALSE
3,11,8,5,0,FALSE
3,11,2,17,0,FALSE
3,11,9,15,0,FALSE
3,11,15,18,0,FALSE
1,10,27,18,0,FALSE
2,11,7,15,10193,TRUE
3,11,8,11,0,FALSE
1,10,27,11,87,TRUE
3,11,8,10,0,FALSE
3,11,6,9,12174,TRUE
3,11,27,14,0,FALSE
2,11,13,15,73,TRUE
1,11,3,9,8282,TRUE
3,11,8,18,0,FALSE
3,11,2,20,1973,TRUE
1,10,27,14,4442,TRUE
